+--------+------------------------------------------------------------------------------------------------------+---------------------+---------------------+
| codigo | localidade                                                                                           | created_at          | updated_at          |
|    120 | Divisão de Administração Patrimonial                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    159 | Divisão de Arquivo                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     74 | Divisão de Informática                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    147 | Divisão de Material e Patrimônio - CGJ                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     81 | Divisão de Material e Patrimônio - Fórum                                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     80 | Divisão de Serviço Social                                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    105 | Divisão de Serviços Gerais                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     93 | Divisão Médica                                                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    163 | Doação                                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    282 | Gabinete da Corregedoria Fórum                                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    268 | Grupo do PJE                                                                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    247 | Imperatriz                                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    157 | Indefinido                                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     86 | Instituto Bem Viver - Creche Sonho Meu                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    249 | Itautec - MATEC                                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    281 | Juízado Especial Cível e Criminal de Paço do Lumiar                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    265 | Juízado Especial Cível e Criminal de São José de Ribamar                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    250 | Juizado Especial da Fazenda Pública                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    146 | Juizado Especial de Bacabal                                                                          | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    174 | Juizado Especial de Transito                                                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    191 | Juizado Especial de Trânsito                                                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    295 | Laboratório de Inovação Tecnológica                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     75 | Laboratório Forense de Biologia Molecular                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    161 | Ministério Público                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    267 | Mutirão Carcerário                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    278 | Mutirão Vara da Mulher                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|      0 | Não informado                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    293 | NATJUS                                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    292 | NAUJ                                                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    156 | Núcleo de Apoio a Justiça de 1o Grau                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    252 | Núcleo Permanente de Métodos Consensuais de Solução de Conflitos                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    275 | OKI do Brasil                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    271 | Ouvidoria                                                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    207 | P.A.B.X                                                                                              | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     87 | Partidoria Judicial                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    210 | Plantão Judicial                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    244 | Plantão Judicial Criminal                                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    127 | Porão                                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     97 | Posto Policial                                                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     91 | Pré-Distribuição                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    269 | Procuradoria Geral do Estado                                                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    115 | Procuradoria Geral do Município                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    218 | Projeto Pai Presente                                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    109 | Protocolo                                                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    153 | Rack do 1 andar Ala 1                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    152 | Rack do 1 andar Ala 3                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    165 | Rack do 1 andar Ala 5                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    213 | Rack do 1 andar Ala 6                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    192 | Rack do 3 andar Ala 4                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    197 | Rack do 3 andar Ala 6                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    196 | Rack do 4 andar Ala 4                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    195 | Rack do 4 andar Ala 6                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    168 | Rack do 5 andar Ala 4                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    200 | Rack do 5 andar Ala 4                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    194 | Rack do 5 andar Ala 6                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    169 | Rack do 6 andar Ala 4                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    201 | Rack do 6 andar Ala 4                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    230 | Rack do 6 andar Ala 6                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    167 | Rack do 7 andar Ala 4                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    228 | Rack do 7 andar Ala 6                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    236 | Rack do Térreo Ala 5                                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
